Fecha,Tiempo de Inicio,Tiempo fianl,Duración,Duración real.,Proyecto,Descripcion,Sentimiento,Etiquetas
7/29/2022,9:00 a. m.,10:05 a. m.,1:05:00,1:05:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast, The Daily",-,
7/29/2022,10:06 a. m.,11:47 a. m.,1:41:00,1:41:00,Ciclismo,"Reparar, bici, audiolibro, Xenocide",-,
7/29/2022,11:47 a. m.,12:01 p. m.,0:14:00,0:14:00,Transporte,Lillehammer a Lillehammer,-,Bici
7/29/2022,12:01 p. m.,3:29 p. m.,3:28:00,3:28:00,Email Y Logística,"Investigar, política, rutas, transporte",-,Electrónica
7/29/2022,3:29 p. m.,4:30 p. m.,1:01:00,1:01:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast",-,
7/29/2022,4:30 p. m.,6:03 p. m.,1:33:00,1:33:00,Tareas Domésticas,Envolver regalos,-,Música
7/29/2022,6:04 p. m.,6:57 p. m.,0:53:00,0:53:00,Recreo Social,"Escribir, carta",-,"Familia, Papel"
7/29/2022,6:56 p. m.,7:21 p. m.,0:25:00,0:25:00,Errands Afueras,Correo,-,Bici
7/29/2022,7:21 p. m.,9:13 p. m.,1:52:00,1:52:00,Recreo Misc,"Explorar, Lillehammer",-,"Bici, Pie"
7/29/2022,9:13 p. m.,10:38 p. m.,1:25:00,1:25:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, Making Sense with Sam Harris",-,"Comer, Lectura, Podcast"
7/29/2022,10:35 p. m.,11:04 p. m.,0:29:00,0:29:00,Transporte,Lillehammer a Lillehammer,-,Bici
7/29/2022,11:03 p. m.,11:21 p. m.,0:18:00,0:18:00,Escritura y Vídeos,Strava,-,
7/30/2022,7:25 a. m.,7:43 a. m.,0:18:00,0:18:00,"Comer, Vestirse u Higiene",Vestirse,-,
7/30/2022,7:45 a. m.,8:33 a. m.,0:48:00,0:48:00,Errands Afueras,"Comprar, comestibles",-,Bici
7/30/2022,8:32 a. m.,9:17 a. m.,0:45:00,0:45:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast",-,
7/30/2022,9:17 a. m.,10:28 a. m.,1:11:00,1:11:00,Errands Afueras,"Comprar, comestibles, lavar, la ropa",-,Bici
7/30/2022,10:28 a. m.,12:34 p. m.,2:06:00,2:06:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/30/2022,12:34 p. m.,2:02 p. m.,1:28:00,1:28:00,Ciclismo,"Montar, cicloturismo, Lillehammer a ""Moelv, Noruega""",-,
7/30/2022,2:03 p. m.,3:00 p. m.,0:57:00,0:57:00,"Comer, Vestirse u Higiene","Comer, sandwich, Dear Hank and John",-,"Comer, Lectura, Podcast"
7/30/2022,3:00 p. m.,7:16 p. m.,4:16:00,4:16:00,Ciclismo,"Montar, cicloturismo, Moelv a ""Hernes, Noruega""",Normal,
7/30/2022,7:17 p. m.,8:08 p. m.,0:51:00,0:51:00,Tareas Domésticas,"Desempacar, sitio de camping, The Daily",-,"Lectura, Podcast"
7/30/2022,8:08 p. m.,9:25 p. m.,1:17:00,1:17:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Lectura
7/30/2022,9:26 p. m.,9:47 p. m.,0:21:00,0:21:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/30/2022,9:47 p. m.,10:29 p. m.,0:42:00,0:42:00,Escritura y Vídeos,Strava,-,
7/31/2022,6:35 a. m.,7:42 a. m.,1:07:00,1:07:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/31/2022,7:42 a. m.,8:47 a. m.,1:05:00,1:05:00,"Comer, Vestirse u Higiene","Comer, avena",-,Lectura
7/31/2022,8:48 a. m.,9:34 a. m.,0:46:00,0:46:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
7/31/2022,9:34 a. m.,11:12 a. m.,1:38:00,1:38:00,Ciclismo,"Montar, cicloturismo, Hernes a ""Osensjøen, Noruega""",-,
7/31/2022,11:13 a. m.,12:00 p. m.,0:47:00,0:47:00,Email Y Logística,"Investigar, alojamiento",-,Electrónica
7/31/2022,12:00 p. m.,12:30 p. m.,0:30:00,0:30:00,Errands Afueras,"Comprar, comestibles",-,Bici
7/31/2022,12:31 p. m.,1:48 p. m.,1:17:00,1:17:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,"Comer, Lectura"
7/31/2022,1:48 p. m.,6:50 p. m.,5:02:00,5:02:00,Ciclismo,"Montar, cicloturismo, Osensjøen a ""Rörbäcksnäs, Suecia""",-,
7/31/2022,6:52 p. m.,7:37 p. m.,0:45:00,0:45:00,Tareas Domésticas,"Desempacar, sitio de camping, The Daily",-,
7/31/2022,7:37 p. m.,8:55 p. m.,1:18:00,1:18:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Lectura
7/31/2022,8:55 p. m.,9:12 p. m.,0:17:00,0:17:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
7/31/2022,9:12 p. m.,9:34 p. m.,0:22:00,0:22:00,Escritura y Vídeos,Strava,-,
7/31/2022,9:34 p. m.,9:54 p. m.,0:20:00,0:20:00,Email Y Logística,Warmshowers,-,Electrónica
8/1/2022,6:24 a. m.,7:11 a. m.,0:47:00,0:47:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
8/1/2022,7:12 a. m.,8:20 a. m.,1:08:00,1:08:00,"Comer, Vestirse u Higiene","Comer, avena",-,Lectura
8/1/2022,9:24 a. m.,1:16 p. m.,3:52:00,3:52:00,Ciclismo,"Montar, cicloturismo, Rörbäcksnäs a ""Evertsberg, Suecia""",-,
8/1/2022,1:17 p. m.,2:16 p. m.,0:59:00,0:59:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,Lectura
8/1/2022,2:16 p. m.,4:50 p. m.,2:34:00,2:34:00,Ciclismo,"Montar, cicloturismo, Evertsberg a ""Mora, Suecia""",-,
8/1/2022,4:50 p. m.,6:05 p. m.,1:15:00,1:15:00,Email Y Logística,"Biblioteca, investigar, relaciones, transporte",-,Electrónica
8/1/2022,6:05 p. m.,7:03 p. m.,0:58:00,0:58:00,Ciclismo,"Montar, cicloturismo, Mora a ""Sollerön, Suecia""",-,
8/1/2022,7:03 p. m.,7:59 p. m.,0:56:00,0:56:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
8/1/2022,7:59 p. m.,9:09 p. m.,1:10:00,1:10:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, Dear Hank and John",-,
8/1/2022,9:10 p. m.,9:44 p. m.,0:34:00,0:34:00,Recreo Electrónico,Citas en línea,-,Electrónica
8/1/2022,9:44 p. m.,10:15 p. m.,0:31:00,0:31:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
8/1/2022,10:15 p. m.,10:39 p. m.,0:24:00,0:24:00,Escritura y Vídeos,Strava,-,
8/2/2022,7:10 a. m.,7:41 a. m.,0:31:00,0:31:00,Recreo Misc,Personal,-,
8/2/2022,7:41 a. m.,8:36 a. m.,0:55:00,0:55:00,Tareas Domésticas,"Empacar, sitio de camping, BBC Global News Podcast, The Daily",-,
8/2/2022,8:35 a. m.,9:57 a. m.,1:22:00,1:22:00,"Comer, Vestirse u Higiene","Comer, avena, audiolibro, Children of the Mind",-,
8/2/2022,9:57 a. m.,10:33 a. m.,0:36:00,0:36:00,Tareas Domésticas,"Empacar, sitio de camping",-,Lectura
8/2/2022,10:32 a. m.,11:34 a. m.,1:02:00,1:02:00,Ciclismo,"Montar, cicloturismo  Sollerön a Mora",-,
8/2/2022,11:35 a. m.,12:40 p. m.,1:05:00,1:05:00,Email Y Logística,"Comprar, transporte",-,Electrónica
8/2/2022,12:40 p. m.,1:26 p. m.,0:46:00,0:46:00,Email Y Logística,Logística,-,Electrónica
8/2/2022,1:26 p. m.,2:18 p. m.,0:52:00,0:52:00,Errands Afueras,"Comprar, comestibles",-,Bici
8/2/2022,2:17 p. m.,6:37 p. m.,4:20:00,4:20:00,Transporte,"Tren, Mora a ""Västerås, Suecia"", citas en línea",-,Lectura
8/2/2022,6:38 p. m.,7:21 p. m.,0:43:00,0:43:00,Ciclismo,"Montar, cicloturismo, Västerås a ""Anundshög, Suecia""",-,
8/2/2022,7:21 p. m.,7:50 p. m.,0:29:00,0:29:00,Tareas Domésticas,"Desempacar, sitio de camping, Dear Hank and John",-,
8/2/2022,7:50 p. m.,9:03 p. m.,1:13:00,1:13:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Lectura
8/2/2022,9:02 p. m.,9:44 p. m.,0:42:00,0:42:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Lectura
8/2/2022,9:45 p. m.,9:48 p. m.,0:03:00,0:03:00,Escritura y Vídeos,Strava,-,
8/3/2022,7:16 a. m.,8:20 a. m.,1:04:00,1:04:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
8/3/2022,8:20 a. m.,8:54 a. m.,0:34:00,0:34:00,Recreo Social,Entrevista,Normal,Social/Grupo
8/3/2022,8:54 a. m.,9:58 a. m.,1:04:00,1:04:00,"Comer, Vestirse u Higiene","Comer, avena",-,Música
8/3/2022,9:58 a. m.,10:47 a. m.,0:49:00,0:49:00,Ciclismo,"Montar, cicloturismo, Anundshög a ""Ängsösund, Suecia""",-,
8/3/2022,10:48 a. m.,11:05 a. m.,0:17:00,0:17:00,Recreo Social,Charlar,-,
8/3/2022,11:05 a. m.,11:48 a. m.,0:43:00,0:43:00,"Comer, Vestirse u Higiene",Ducharse,-,
8/3/2022,11:48 a. m.,1:05 p. m.,1:17:00,1:17:00,Ciclismo,"Montar, cicloturismo, Ängsösund a ""Enköping, Suecia""",Normal,
8/3/2022,1:05 p. m.,2:20 p. m.,1:15:00,1:15:00,"Comer, Vestirse u Higiene","Comer, sandwich, citas en línea",-,"Comer, Electrónica, Lectura"
8/3/2022,2:20 p. m.,5:38 p. m.,3:18:00,3:18:00,Ciclismo,"Montar, cicloturismo, Enköping a ""Kungsängen, Suecia""",-,
8/3/2022,5:39 p. m.,6:37 p. m.,0:58:00,0:58:00,Errands Afueras,"Comprar, comestibles",-,Bici
8/3/2022,6:37 p. m.,7:25 p. m.,0:48:00,0:48:00,Ciclismo,"Montar, cicloturismo, Kungsängen a ""Rocksta, Suecia""",-,
8/3/2022,7:26 p. m.,8:24 p. m.,0:58:00,0:58:00,Tareas Domésticas,"Desempacar, sitio de camping, BBC Global News Podcast",-,
8/3/2022,8:24 p. m.,9:52 p. m.,1:28:00,1:28:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, BBC Global News Podcast, The Daily, citas en línea",-,"Comer, Electrónica, Podcast"
8/3/2022,9:51 p. m.,10:17 p. m.,0:26:00,0:26:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
8/3/2022,10:17 p. m.,11:00 p. m.,0:43:00,0:43:00,Escritura y Vídeos,Strava,-,
8/4/2022,7:11 a. m.,8:02 a. m.,0:51:00,0:51:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
8/4/2022,8:02 a. m.,8:57 a. m.,0:55:00,0:55:00,"Comer, Vestirse u Higiene","Comer, avena",-,Música
8/4/2022,8:57 a. m.,9:17 a. m.,0:20:00,0:20:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
8/4/2022,9:17 a. m.,9:45 a. m.,0:28:00,0:28:00,Email Y Logística,"Investigar, tiendas",-,Electrónica
8/4/2022,9:45 a. m.,12:14 p. m.,2:29:00,2:29:00,Ciclismo,"Montar, cicloturismo, Rocksta a ""Stockholm, Suecia""",-,
8/4/2022,12:14 p. m.,12:40 p. m.,0:26:00,0:26:00,Tareas Domésticas,"Desempacar, sitio de camping",-,
8/4/2022,12:40 p. m.,12:54 p. m.,0:14:00,0:14:00,Recreo Misc,"Explorar, Stockholm",-,Bici
8/4/2022,12:54 p. m.,2:00 p. m.,1:06:00,1:06:00,"Comer, Vestirse u Higiene","Comer, sandwich, citas en línea",-,"Comer, Electrónica, Lectura"
8/4/2022,2:00 p. m.,5:04 p. m.,3:04:00,3:04:00,Recreo Misc,"Explorar, Stockholm, museo",-,
8/4/2022,5:04 p. m.,6:35 p. m.,1:31:00,1:31:00,Recreo Social,Citas en línea,-,Electrónica
8/4/2022,6:37 p. m.,7:09 p. m.,0:32:00,0:32:00,Recreo Misc,"Explorar, Stockholm",-,Bici
8/4/2022,7:08 p. m.,9:08 p. m.,2:00:00,2:00:00,"Comer, Vestirse u Higiene","Comer, pan, porotos, citas en línea",-,"Comer, Electrónica, Lectura"
8/4/2022,9:08 p. m.,9:46 p. m.,0:38:00,0:38:00,Transporte,Stockholm a Stockholm,-,Bici
8/4/2022,9:46 p. m.,10:28 p. m.,0:42:00,0:42:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
8/4/2022,10:28 p. m.,11:20 p. m.,0:52:00,0:52:00,Ciclismo,"Investigar, cicloturismo",-,"Electrónica, Lectura"
8/4/2022,11:20 p. m.,1:26 a. m.,2:06:00,2:06:00,Escritura y Vídeos,Strava,Normal,
8/5/2022,9:12 a. m.,10:32 a. m.,1:20:00,1:20:00,Tareas Domésticas,"Empacar, sitio de camping, BBC Global News Podcast, The Daily",-,
8/5/2022,10:34 a. m.,10:47 a. m.,0:13:00,0:13:00,Transporte,Stockholm a Stockholm,-,Bici
8/5/2022,10:46 a. m.,11:44 a. m.,0:58:00,0:58:00,"Comer, Vestirse u Higiene","Comer, avena, BBC Global News Podcast, citas en línea",-,"Comer, Electrónica"
8/5/2022,11:44 a. m.,1:34 p. m.,1:50:00,1:50:00,Errands Afueras,"Comprar, comestibles",-,"Bici, Pie"
8/5/2022,1:34 p. m.,5:16 p. m.,3:42:00,3:42:00,Email Y Logística,"Biblioteca, investigar, rutas",-,Electrónica
8/5/2022,5:16 p. m.,6:09 p. m.,0:53:00,0:53:00,Email Y Logística,"Investigar, transporte, comer, merienda",-,Electrónica
